Query File,Target File
Chris Montez__Let's Dance.3,1__1693d83008765b605083c1d07b6e0fc2
Chris Montez__Let's Dance.1,6__6dd95453b3f5e99fc001f5007207427f
Jive Bunny__That's What I Like (Medley),3__365320a461fa9a6728f3ff0a8a71458d
Trinere__Trinere All Night,f__f3cb5eb193bf27caf5354a2583143e0b
Dusty Springfield__I Only Want to Be With You.1,7__77be8975a77ad9d4530bebf4b41252f1
Dusty Springfield__I Only Want to Be With You.2,e__ea19da5650fef71439af7ec620e70563
Dusty Springfield__I Only Want to Be With You,2__241fb31599f9fb25aa28221b293d20dd
Dusty Springfield__Son of a Preacher Man,5__57115e3b6f41d2794b4a5aa9dd407137
Dusty Springfield__You Don't Have to Say You Love Me,d__d42c56c7705fba3c2c5dfa30d5f68a8e
Dusty Springfield__In Private,b__b563b67ed6b91d4fd32fe54d658c17db
Sandro & Gustavo__A Garagem da Vizinha,a__a1533920e0861f23d7478b61640db385
Jerry Lee Lewis__High Blood Pressure,d__d3eb3a624471f74146eca470251cdd91
Jerry Lee Lewis__Whole Lotta Shakin' Goin' On,f__fcf58bab6113e4a45590a77078499e53
Jerry Lee Lewis__Great Balls of Fire.1,a__a24d9384135de5573bdde21f9c557287
Jerry Lee Lewis__Rockin' My Life Away,7__789951eb543ef161797fce46dab2bfc3
Jerry Lee Lewis__Great Balls of Fire,6__6ba89f65927d463dfa994bc8ce70ac7e
Jerry Lee Lewis__Chantilly Lace,c__c0eaedd885e3804b460cf0d24656c65f
Gino Vannelli__I Just Wanna Stop,6__683970547c99eac0abbbd1ca91afde20
Soft Cell__Tainted Love.2,8__812938149a836319009a582a32c1057a
Soft Cell__Tainted Love.1,9__9871db78072ce9116854f674f9b2a0f0
Soft Cell__Something's Gotten Hold of My Heart,9__9a6cebda700f241cbf3d1e68afc2823c
Soft Cell__Tainted Love,3__315cea9e2c1ce727d82ccef25ff7c065
Rick Derringer__Rock 'n' Roll Hoochie Koo,c__c912b7d6211090bb73ab16d5f75f0cc1
The Troggs__Love Is All Around,4__44d443ba1acf468136eb344eac5dd36b
The Troggs__Wild Thing.1,a__a694e4a8247ec64c8a09929975c10e8e
The Troggs__Wild Thing,6__6b8d9831b3502d5f78f17b759d83bd79
The Troggs__With a Girl Like You,0__02820dfbd2314a096b22a02ef001f2e5
The Troggs__Love Is All Around.1,2__2d2bf69837d8f9e5960d92bd7ca013e7
Wendy Moten__Come in Out of the Rain,9__926fcf230e813c2ce6417599d094481f
DJ Paul Elstak__Rainbow in the Sky,0__0a1b7f59058eb2fba0a5bf43295c638d
DJ Paul Elstak__Rave On,9__9b8ee836347b2a64069582bac76e1044
DJ Paul Elstak__The Promised Land,f__fe8d3f7a2f5416d136d5767f3a5df7a6
Erroll Garner__The Way Back Blues,9__9888a3e2b93f638a62888abfdb2268ec
Erroll Garner__That's My Kick,9__92eca653ecab6099b7477e80e6ef2a52
Mo-Do__Super Gut,5__59a7d0adaa3404e8d8380b473ece3f3d
Mo-Do__Eins Zwei Polizei,6__623e0d87a5d31beda55df255e5a85577
Mo-Do__Eins Zwei Polizei.1,0__07abf003ae7babc509a3d6d08340e998
Ace Frehley__New York Groove,7__798c80df920d37254a4d5549261a401d
Bobby Vinton__Blue Velvet,3__374f7bf6e59b3a3c7a7ec842b4d7e26d
Bobby Vinton__Sealed With a Kiss,8__847720e1c91210cff733aeb41274f456
Bobby Vinton__Mr. Lonely,6__62c95e60320a33802f87bc192ef441ae
Bobby Vinton__My Special Angel,e__ea3cb2cbb8e29ce61ac9dc96185e4cd3
Brooks Garth__The River,7__79a1b6b9327ce672bbf9bc7deb921574
Brooks Garth__Ain't Goin' Down ('til the Sun Comes Up),c__c5106433ac7c1fb95043de19420360b7
"Brooks Garth__Two of a Kind, Workin' on a Full House",0__0a81627e01a3f705d669acf84a68f07a
Brooks Garth__Unanswered Prayers,e__e57b01c5a2e36372c9d0ba2c9d15ec87
Brooks Garth__Callin' Baton Rouge.2,5__55d51ce5668836b191ea285464687ca8
Brooks Garth__The Thunder Rolls.2,0__000914ed8544a10c39dffa86c60d9869
Brooks Garth__Friends in Low Places,5__5bcb3c1ef243c58aa9dc7e87ca914ab4
Brooks Garth__Callin' Baton Rouge,2__27ef728703951d0339684532d4f83902
Brooks Garth__Somewhere Other Than the Night,3__3f8bf2eeed2bc95fb7c15cf54d2983fe
Brooks Garth__The Thunder Rolls.3,d__de945c11af978204bba404eeea6da660
"Brooks Garth__Two of a Kind, Workin' on a Full House.1",b__b8ffdb97ba2c3e6c28a561f288c9a637
Brooks Garth__The Thunder Rolls.1,9__97c74f3bb888712e259f12b8430561f0
Brooks Garth__The Dance.2,b__b8a2c46dc5d0d9f6809efdf0e08ef8d6
Brooks Garth__Shameless,0__0774124d0e26b391a6544d23ae7e4250
Brooks Garth__If Tomorrow Never Comes.3,a__a1cf19ec5451f314f1a0a5410f467ea9
Brooks Garth__One Night a Day,9__9c8e9b055a9dc98fe5c58d7c14c3a9b3
Brooks Garth__The Dance.5,b__b9a89fb8ba3107ce06696b1543305024
Brooks Garth__Ain't Goin' Down ('til the Sun Comes Up).2,9__93d5ba104c480957aa359f4af0e22de8
Brooks Garth__The Dance.3,e__e38f8af0a83331abc7962c94e8eaf500
Brooks Garth__American Honky-Tonk Bar Association.1,d__d412c140320b8a6844416744ee9f484c
Brooks Garth__Callin' Baton Rouge.1,2__2c8f7a79dea81566282115b005475b7f
Brooks Garth__The Dance.1,e__e54edc066c2176f8ae88e99a5ecb9c86
Brooks Garth__The Dance,3__36b1a30377e29c64bdea32a264935a40
Brooks Garth__Not Counting You,4__4a2677e75d48bfc0ea909c66bea6f0d8
Brooks Garth__If Tomorrow Never Comes.2,3__331fbc20ab261dbfaaf07533224153c7
Brooks Garth__If Tomorrow Never Comes,1__14762c42e7af54dfefbdbf6dd8195604
Brooks Garth__Longneck Bottle,5__50c159c0ed3ea3f144a55b7f94aa5d16
Brooks Garth__Papa Loved Mama.1,6__6d62c94e2d515aed6f579858f3e987ac
Brooks Garth__Two Pina Coladas,b__b5ab8a15361976b315da438907ade19d
Brooks Garth__That Summer,3__3717028b336cfe23d81f8bfa38e2b2da
Brooks Garth__Friends in Low Places.2,3__382b331f5e7711fc874e8d634ec39cc9
Brooks Garth__Papa Loved Mama,3__309e84bda2b24c73cb3b424614209c6d
Brooks Garth__Friends in Low Places.1,6__603b37d08abc69cbad48854a820e925c
Brooks Garth__Ain't Goin' Down ('til the Sun Comes Up).1,6__63e968acf3848d9f7b7aa077329b19e2
Brooks Garth__If Tomorrow Never Comes.1,f__fa66863adb9c07d6310589e49218a88c
Brooks Garth__Friends in Low Places.3,8__824395d13c1fa15853330271100a825f
Brooks Garth__The Thunder Rolls,e__e61a80a1afac255def8a2417a7a727e7
Brooks Garth__The Dance.4,f__f6153cfce73499828fd44d410f439609
